3DS	Nintendo 3DS
ARC	Arcade
Atari	Atari 2600 / Atari 5200 / Atari 7800
BR	Browser
DC	Sega Dreamcast
DOS	DOS
DS	Nintendo DS
GB	Game Boy
GBC	Game Boy Color
GBA	Game Boy Advance
GC	Nintendo GameCube
GEN	Mega Drive / Genesis
JAG	Atari Jaguar
MOB	Mobile
N64	Nintendo 64
NES	Nintendo Entertainment System (NES)
PC	PC
PS	PlayStation
PS2	PlayStation 2
PS3	PlayStation 3
PS4	PlayStation 4
PS5	PlayStation 5
PSP	PlayStation Portable
PSV	PlayStation Vita
Retro	Retro PC
SAT	Sega Saturn
SMS	Master System
SNES	Super Nintendo Entertainment System (SNES)
SW	Nintendo Switch
TG16	TurboGrafx-16 / PC Engine
VR	Virtual Reality
Wii	Nintendo Wii
WiiU	Nintendo Wii U
X360	Xbox 360
XB1	Xbox One
Xbox	Xbox
XBXS	Xbox Series X/S
